"Đơn vị","Lĩnh vực","Mã số TTHC","Tên TTHC","Phí, lệ phí","Số hiệu Quyết định Phê duyệt Danh mục TTHC","Số hiệu Quyết định Quy trình nội bộ","Nơi tiếp nhận hồ sơ và trả kết quả","Cấp thực hiện","Thẩm quyền giải quyết","Số hiệu Quyết định công bố danh mục DVCTT","Mức độ DVCTT hiện tại","Ghi chú"
"GDĐT","Giáo dục đào tạo thuộc hệ thống giáo dục quốc dân và các cơ sở khác","1.005036.000.00.00.H34","Giải thể trung tâm ngoại ngữ, tin học (theo đề nghị của cá nhân tổ chức thành lập trung tâm ngoại ngữ, tin hoc)","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","","Mức độ 2",""
"GDĐT","Giáo dục nghề nghiệp","1.005087.000.00.00.H34","Giải thể phân hiệu trường trung cấp sư phạm (theo đề nghị của tổ chức, cá nhân đề nghị thành lập phân hiệu trường trung cấp)","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"GDĐT","Đào tạo với nước ngoài","1.001497.000.00.00.H34","Gia hạn, điều chỉnh hoạt động liên kết giáo dục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 07/QĐ-UBND ngày 06/01/2021","Mức độ 3",""
"GDĐT","Đào tạo với nước ngoài","1.001492.000.00.00.H34","Đăng ký hoạt động của Văn phòng đại diện giáo dục nước ngoài tại Việt Nam","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Giáo dục nghề nghiệp","2.001989.000.00.00.H34","Đăng ký bổ sung hoạt động giáo dục nghề nghiệp đối với nhóm ngành đào tạo giáo viên trình độ trung cấp","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Giáo dục dân tộc","1.004496.000.00.00.H34","Cho phép trường phổ thông dân tộc nội trú có cấp học cao nhất là trung học cơ sở hoạt động giáo dục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Bộ phận Tiếp nhận và Trả kết quả cấp Huyện","Cấp Huyện","UBND cấp Huyện","","Mức độ 2",""
"GDĐT","Đào tạo với nước ngoài","1.001495.000.00.00.H34","Cho phép hoạt động giáo dục trở lại đối với cơ sở đào tạo, bồi dưỡng ngắn hạn;cơ sở giáo dục mầm non; cơ sở giáo dục phổ thông có vốn đầu tư nước ngoài tại Việt Nam","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Giáo dục nghề nghiệp","1.005082.000.00.00.H34","Cho phép hoạt động giáo dục nghề nghiệp trở lại đối với nhóm ngành đào tạo giáo viên trình độ trung cấp","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Đào tạo với nước ngoài","1.006446.000.00.00.H34","Cho phép hoạt động giáo dục đối với cơ sở đào tạo, bồi dưỡng ngắn hạn; cơ sở giáo dục mầm non; cơ sở giáo dục phổ thông có vốn đầu tư nước ngoài tại Việt Nam","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Đào tạo với nước ngoài","1.001496.000.00.00.H34","Chấm dứt hoạt động liên kết giáo dục theo đề nghị của các bên liên kết","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","","Mức độ 2",""
"GDĐT","Đào tạo với nước ngoài","1.000718.000.00.00.H34","Bổ sung, điều chỉnh quyết định cho phép hoạt động giáo dục đối với cơ sở đào tạo, bồi dưỡng ngắn hạn; cơ sở giáo dục mầm non; cơ sở giáo dục phổ thông có vốn đầu tư nước ngoài tại Việt Nam","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Giáo dục mầm non","1.006444.000.00.00.H34","Cho phép trường mẫu giáo, trường mầm non, nhà trẻ hoạt động giáo dục trở lại","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Bộ phận Tiếp nhận và Trả kết quả cấp Huyện","Cấp Huyện","UBND cấp Huyện","","Mức độ 2",""
"GDĐT","Giáo dục dân tộc","1.005079.000.00.00.H34","Sáp nhập, chia tách trường phổ thông dân tộc nội trú","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Giáo dục dân tộc","1.005076.000.00.00.H34","Giải thể trường phổ thông dân tộc nội trú (Theo yêu cầu của tổ chức, cá nhân đề nghị thành lập trường)","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 3",""
"GDĐT","Giáo dục tiểu học","2.001842.000.00.00.H34","Cho phép trường tiểu học hoạt động giáo dục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Bộ phận Tiếp nhận và Trả kết quả cấp Huyện","Cấp Huyện","UBND cấp Huyện","","Mức độ 2",""
"GDĐT","Giáo dục trung học","1.004444.000.00.00.H34","Cho phép trường trung học cơ sở hoạt động giáo dục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Bộ phận Tiếp nhận và Trả kết quả cấp Huyện","Cấp Huyện","UBND cấp Huyện","","Mức độ 2",""
"GDĐT","Lĩnh vực Giáo dục Dân tộc","1.005090.000.00.00.H34","Xét tuyển sinh vào trường Phổ thông dân tộc nội trú","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 475/QĐ-UBND ngày 27/8/2021","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005354.000.00.00.H34","Cấp giấy chứng nhận đăng ký hoạt động giáo dục nghề nghiệp đối với nhóm ngành đào tạo giáo viên trình độ trung cấp","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005061.000.00.00.H34","Cấp giấy chứng nhận đăng ký kinh doanh dịch vụ tư vấn du học","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.004435.000.00.00.H34","Xét, duyệt chính sách hỗ trợ đối với học sinh trung học phổ thông là người dân tộc Kinh","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005143.000.00.00.H34","Đề nghị phê duyệt việc dạy và học bằng tiếng nước ngoài","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.001088.000.00.00.H34","Xin học lại tại trường khác đối với học sinh trung học","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.004436.000.00.00.H34","Xét, duyệt chính sách hỗ trợ đối với học sinh trung học phổ thông là người dân tộc thiểu số","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục Trung học","1.000270.000.00.00.H34","Chuyển trường đối với học sinh trung học phổ thông","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Hệ thống văn bằng, chứng chỉ","2.001914.000.00.00.H34","Chỉnh sửa nội dung văn bằng, chứng chỉ","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005049.000.00.00.H34","Cho phép trung tâm ngoại ngữ, tin học hoạt động giáo dục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005025.000.00.00.H34","Cho phép trung tâm ngoại ngữ, tin học hoạt động giáo dục trở lại","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005195.000.00.00.H34","Cho phép trung tâm hỗ trợ và phát triển giáo dục hòa nhập hoạt động giáo dục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005008.000.00.00.H34","Cho phép trường trung học phổ thông chuyên hoạt động giáo dục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005074.000.00.00.H34","Cho phép trường trung học phổ thông hoạt động giáo dục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005065.000.00.00.H34","Thành lập trung tâm giáo dục thường xuyên","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Nội vụ và Sở Lao động, Thương binh Xã hội","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005084.000.00.00.H34","Thành lập trường phổ thông dân tộc nội trú","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005466.000.00.00.H34","Thành lập trung tâm hỗ trợ và phát triển giáo dục hòa nhập công lập hoặc cho phép thành lâp trung tâm hỗ trợ và phát triển giáo dục hòa nhập tư thục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Nội vụ và Sở Lao động, Thương binh Xã hội","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005053.000.00.00.H34","Thành lập, cho phép thành lập trung tâm ngoại ngữ, tin học","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.001000.000.00.00.H34","Xác nhận hoạt động giáo dục kỹ năng sống và hoạt động giáo dục ngoài giờ chính khóa","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.006388.000.00.00.H34","Thành lập trường trung học phổ thông công lập hoặc cho phép thành lập trường trung học phổ thông tư thục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005015.000.00.00.H34","Thành lập trường trung học phổ thông chuyên công lập hoặc cho phép thành lâp trường trung học phổ thông chuyên tư thục","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005043.000.00.00.H34","Sáp nhập, chia, tách trung tâm ngoại ngữ, tin học","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Giáo dục và Đào tạo","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.004999.000.00.00.H34","Sáp nhập, chia tách trường trung học phổ thông chuyên","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.005070.000.00.00.H34","Sáp nhập, chia tách trường trung học phổ thông","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
"GDĐT","Lĩnh vực Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","1.004991.000.00.00.H34","Giải thể trường trung học phổ thông chuyên","Không","Quyết định số 341/QĐ-UBND ngày 06/07/2021","Quyết định số 466/QĐ-UBND ngày 24/8/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 4",""
