"Mã TTHC","Tên TTHC","Mã cơ quan công bố","Cơ quan công bố","Lĩnh vực","Cấp thực hiện"
"1.000112","Bổ nhiệm công chứng viên","000.00.00.G15","Bộ Tư pháp","Công chứng","Cấp Tỉnh"
"1.000123","Miễn chấp hành quyết định áp dụng biện pháp quản lý sau cai tại trung tâm quản lý sau cai nghiện","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Phòng, chống tệ nạn xã hội","Cấp Huyện"
"1.000138","Chia, tách, sáp nhập trường trung cấp, trung tâm giáo dục nghề nghiệp có vốn đầu tư nước ngoài","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000142","Giao quyền sở hữu, quyền sử dụng kết quả nghiên cứu khoa học và phát triển công nghệ sử dụng ngân sách nhà nước cấp tỉnh","000.00.00.G06","Bộ Khoa học và Công nghệ","Hoạt động khoa học và công nghệ","Cấp Tỉnh"
"1.000147","Tính thời gian công tác để hưởng bảo hiểm xã hội đối với người lao động có thời hạn ở nước ngoài trước ngày 01 tháng 01 năm 1995 và giải quyết chế độ tử tuất đối với trường hợp người lao động đã chết sau khi về nước nhưng thân nhân chưa được hưởng chế độ tử tuất","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Bảo hiểm xã hội","Cấp Tỉnh"
"1.000152","Đăng ký sử dụng, điều chỉnh thông tin và ngừng sử dụng dịch vụ I-VAN","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Bảo hiểm xã hội","Cấp Tỉnh"
"1.000154","Cho phép thành lập phân hiệu của trường trung cấp có vốn đầu tư nước ngoài","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000157","Đăng ký sử dụng, điều chỉnh thông tin và ngừng sử dụng phương thức giao dịch điện tử","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Bảo hiểm xã hội","Cấp Tỉnh"
"1.000160","Cho phép thành lập trường trung cấp, trung tâm giáo dục nghề nghiệp có vốn đầu tư nước ngoài; trường trung cấp, trung tâm giáo dục nghề nghiệp có vốn đầu tư nước ngoài hoạt động không vì lợi nhuận","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000167","Cấp Giấy chứng nhận đăng ký hoạt động liên kết đào tạo với nước ngoài đối với trường trung cấp, trung tâm giáo dục nghề nghiệp và doanh nghiệp","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000181","Cấp phép hoạt động giáo dục kỹ năng sống và hoạt động giáo dục ngoài giờ chính khóa","000.00.00.G03","Bộ Giáo dục và Đào tạo","Giáo dục đào tạo thuộc hệ thống giáo dục quốc dân và các cơ sở khác","Cấp Tỉnh"
"1.000234","Giải thể trung tâm giáo dục nghề nghiệp, trường trung cấp công lập trực thuộc tỉnh, thành phố trực thuộc trung ương và trung tâm giáo dục nghề nghiệp, trường trung cấp tư thục trên địa bàn tỉnh, thành phố trực thuộc trung ương","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000243","Thành lập trung tâm giáo dục nghề nghiệp, trường trung cấp công lập trực thuộc tỉnh, thành phố trực thuộc trung ương và trung tâm giáo dục nghề nghiệp, trường trung cấp tư thục trên địa bàn tỉnh, thành phố trực thuộc trung ương","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000259","Cấp giấy chứng nhận chất lượng giáo dục đối với trung tâm giáo dục thường xuyên","000.00.00.G03","Bộ Giáo dục và Đào tạo","Kiểm định chất lượng giáo dục","Cấp Tỉnh"
"1.000262","Khám giám định phúc quyết mức độ khuyết tật đối với trường hợp người khuyết tật không đồng ý với kết luận của Hội đồng Giám định y khoa đã ban hành Biên bản khám giám định","000.00.00.G18","Bộ Y tế","Giám định y khoa","Cấp Tỉnh"
"1.000263","Gia hạn giấy phép hoạt động cai nghiện ma túy tự nguyện","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Phòng, chống tệ nạn xã hội","Cấp Tỉnh"
"1.000266","Chấm dứt hoạt động phân hiệu của trường trung cấp công lập trực thuộc tỉnh, thành phố trực thuộc trung ương và phân hiệu của trường trung cấp tư thục trên địa bàn","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000269","Khám giám định đối với trường hợp đại diện hợp pháp của người khuyết tật (cá nhân, cơ quan, tổ chức) có bằng chứng xác thực về việc xác định mức độ khuyết tật của Hội đồng xác định mức độ khuyết tật không khách quan, không chính xác","000.00.00.G18","Bộ Y tế","Giám định y khoa","Cấp Tỉnh"
"1.000270","Chuyển trường đối với học sinh trung học phổ thông","000.00.00.G03","Bộ Giáo dục và Đào tạo","Giáo dục trung học","Cấp Tỉnh"
"1.000272","Khám giám định đối với trường hợp người khuyết tật có bằng chứng xác thực về việc xác định mức độ khuyết tật của Hội đồng xác định mức độ khuyết tật không khách quan, không chính xác","000.00.00.G18","Bộ Y tế","Giám định y khoa","Cấp Tỉnh"
"1.000276","Khám giám định mức độ khuyết tật đối với trường hợp đại diện hợp pháp của người khuyết tật (bao gồm cá nhân, cơ quan, tổ chức) không đồng ý với kết luận của Hội đồng xác định mức độ khuyết tật","000.00.00.G18","Bộ Y tế","Giám định y khoa","Cấp Tỉnh"
"1.000278","Khám giám định mức độ khuyết tật đối với trường hợp người khuyết tật không đồng ý với kết luận của Hội đồng xác định mức độ khuyết tật","000.00.00.G18","Bộ Y tế","Giám định y khoa","Cấp Tỉnh"
"1.000280","Công nhận trường tiểu học đạt chuẩn quốc gia","000.00.00.G03","Bộ Giáo dục và Đào tạo","Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","Cấp Tỉnh"
"1.000281","Khám giám định mức độ khuyết tật đối với trường hợp Hội đồng xác định mức độ khuyết tật không đưa ra được kết luận về mức độ khuyết tật","000.00.00.G18","Bộ Y tế","Giám định y khoa","Cấp Tỉnh"
"1.000288","Công nhận trường mầm non đạt chuẩn Quốc gia","000.00.00.G03","Bộ Giáo dục và Đào tạo","Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân","Cấp Tỉnh"
"1.000290","Cấp giấy phép hoạt động cai nghiện ma túy tự nguyện","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Phòng, chống tệ nạn xã hội","Cấp Tỉnh"
"1.000294","Bãi bỏ đường ngang","000.00.00.G04","Bộ Giao thông vận tải","Đường sắt","Cấp Tỉnh"
"1.000314","Chấp thuận thiết kế kỹ thuật và phương án tổ chức thi công của nút đấu nối tạm thời có thời hạn vào quốc lộ","000.00.00.G04","Bộ Giao thông vận tải","Đường bộ","Cấp Tỉnh"
"1.000316","Thủ tục thông báo danh mục hoạt động tôn giáo bổ sung đối với tổ chức có địa bàn hoạt động tôn giáo ở nhiều xã thuộc một huyện","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Huyện"
"1.000344","Phê duyệt phương án vận tải hàng hóa siêu trường hoặc hàng hóa siêu trọng trên đường thủy nội địa","000.00.00.G04","Bộ Giao thông vận tải","Đường thủy nội địa","Cấp Tỉnh"
"1.000362","Thông báo về việc tìm việc làm hằng tháng","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Việc làm","Cấp Tỉnh"
"1.000379","Thủ tục cấp Thẻ nhân viên chăm sóc nạn nhân bạo lực gia đình","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Gia đình","Cấp Tỉnh"
"1.000389","Cấp giấy chứng nhận đăng ký bổ sung hoạt động giáo dục nghề nghiệp đối với trung tâm giáo dục nghề nghiệp, trường trung cấp, doanh nghiệp","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000390","Cấp lại thẻ tư vấn viên pháp luật","000.00.00.G15","Bộ Tư pháp","Tư vấn pháp luật","Cấp Tỉnh"
"1.000401","Chuyển nơi hưởng trợ cấp thất nghiệp (chuyển đến)","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Việc làm","Cấp Tỉnh"
"1.000404","Thu hồi thẻ tư vấn viên pháp luật","000.00.00.G15","Bộ Tư pháp","Tư vấn pháp luật","Cấp Tỉnh"
"1.000414","Rút tiền ký quỹ của doanh nghiệp cho thuê lại lao động","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Lao động","Cấp Tỉnh"
"1.000415","Thủ tục thông báo kết quả bổ nhiệm, bầu cử, suy cử những người lãnh đạo tổ chức đối với tổ chức tôn giáo trực thuộc có địa bàn hoạt động ở một tỉnh theo quy định tại khoản 7 Điều 34 của Luật tín ngưỡng, tôn giáo","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.000425","Cấp lại Giấy chứng nhận đủ điều kiện trạm nạp LPG vào phương tiện vận tải","000.00.00.G02","Bộ Công thương","Kinh doanh khí","Cấp Tỉnh"
"1.000426","Cấp thẻ tư vấn viên pháp luật","000.00.00.G15","Bộ Tư pháp","Tư vấn pháp luật","Cấp Tỉnh"
"1.000433","Thủ tục cấp Giấy chứng nhận nghiệp vụ tư vấn về phòng, chống bạo lực gia đình","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Gia đình","Cấp Tỉnh"
"1.000436","Thu hồi Giấy phép hoạt động cho thuê lại lao động","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Lao động","Cấp Tỉnh"
"1.000438","Thủ tục đăng ký kiểm tra nhà nước về đo lường đối với phương tiện đo, lượng của hàng đóng gói sẵn nhập khẩu","000.00.00.G06","Bộ Khoa học và Công nghệ","Tiêu chuẩn đo lường chất lượng","Cấp Tỉnh"
"1.000439","Khám giám định phúc quyết mức độ khuyết tật đối với trường hợp đại diện hợp pháp của người khuyết tật không đồng ý với kết luận của Hội đồng Giám định y khoa cấp tỉnh","000.00.00.G18","Bộ Y tế","Giám định y khoa","Cấp Tỉnh"
"1.000444","Cấp lại Giấy chứng nhận đủ điều kiện trạm nạp CNG vào phương tiện vận tải","000.00.00.G02","Bộ Công thương","Kinh doanh khí","Cấp Tỉnh"
"1.000448","Cấp lại Giấy phép hoạt động cho thuê lại lao động","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Lao động","Cấp Tỉnh"
"1.000449","Thủ tục điều chỉnh nội dung bản công bố sử dụng dấu định lượng","000.00.00.G06","Bộ Khoa học và Công nghệ","Tiêu chuẩn đo lường chất lượng","Cấp Tỉnh"
"1.000454","Thủ tục cấp Giấy chứng nhận nghiệp vụ chăm sóc nạn nhân bạo lực gia đình","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Gia đình","Cấp Tỉnh"
"1.000459","Xác nhận người lao động nước ngoài không thuộc diện cấp giấy phép lao động","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Việc làm","Cấp Tỉnh"
"1.000461","Khám giám định phúc quyết mức độ khuyết tật đối với trường hợp người khuyết tật không đồng ý với kết luận của Hội đồng Giám định y khoa cấp tỉnh","000.00.00.G18","Bộ Y tế","Giám định y khoa","Cấp Tỉnh"
"1.000464","Gia hạn Giấy phép hoạt động cho thuê lại lao động","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Lao động","Cấp Tỉnh"
"1.000473","Thẩm định, phê duyệt phương án ứng phó với tình huống khẩn cấp hồ chứa thủy điện thuộc thẩm quyền phê duyệt của Ủy ban nhân dân cấp huyện","000.00.00.G02","Bộ Công thương","An toàn đập, hồ chứa thuỷ điện","Cấp Huyện"
"1.000479","Cấp Giấy phép hoạt động cho thuê lại lao động","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Lao động","Cấp Tỉnh"
"1.000481","Cấp điều chỉnh Giấy chứng nhận đủ điều kiện thương nhân kinh doanh mua bán CNG","000.00.00.G02","Bộ Công thương","Kinh doanh khí","Cấp Tỉnh"
"1.000482","Công nhận trường trung cấp, trung tâm giáo dục nghề nghiệp tư thục, trường trung cấp, trung tâm giáo dục nghề nghiệp có vốn đầu tư nước ngoài chuyển sang hoạt động không vì lợi nhuận","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000485","Thủ tục cấp giấy chứng nhận đủ điều kiện kinh doanh hoạt động thể thao đối với môn Patin","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Thể dục thể thao","Cấp Tỉnh"
"1.000501","Thủ tục cấp Giấy chứng nhận đủ điều kiện kinh doanh hoạt động thể thao đối với môn Quần vợt","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Thể dục thể thao","Cấp Tỉnh"
"1.000502","Đề nghị tất toán tài khoản ký quỹ của doanh nghiệp đưa người lao động đi thực tập nâng cao tay nghề dưới 90 ngày","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Quản lý lao động ngoài nước","Cấp Tỉnh"
"1.000509","Cho phép thành lập trường trung cấp, trung tâm giáo dục nghề nghiệp tư thục hoạt động không vì lợi nhuận","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000511","Cấp lại giấy xác nhận nội dung quảng cáo dịch vụ khám bệnh, chữa bệnh thuộc thẩm quyền của Sở Y tế khi có thay đổi về tên, địa chỉ của tổ chức, cá nhân chịu trách nhiệm và không thay đổi nội dung quảng cáo","000.00.00.G18","Bộ Y tế","Khám bệnh, chữa bệnh","Cấp Tỉnh"
"1.000517","Thủ tục thông báo kết quả bổ nhiệm, bầu cử, suy cử những người lãnh đạo tổ chức đối với tổ chức tôn giáo có địa bàn hoạt động ở một tỉnh theo quy định tại khoản 7 Điều 34 của Luật tín ngưỡng, tôn giáo","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.000518","Thủ tục cấp Giấy chứng nhận đủ điều kiện kinh doanh hoạt động thể thao đối với môn Bóng đá","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Thể dục thể thao","Cấp Tỉnh"
"1.000523","Cho phép hoạt động liên kết đào tạo trở lại đối với trường trung cấp, trung tâm giáo dục nghề nghiệp và doanh nghiệp","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000530","Đổi tên trường trung cấp, trung tâm giáo dục nghề nghiệp có vốn đầu tư nước ngoài","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000531","Công nhận hiệu trưởng trường trung cấp tư thục","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000535","Thủ tục thông báo kết quả bổ nhiệm, bầu cử, suy cử những người lãnh đạo tổ chức của tổ chức được cấp chứng nhận đăng ký hoạt động tôn giáo có địa bàn hoạt động ở một tỉnh theo quy định tại khoản 7 Điều 34 của Luật tín ngưỡng, tôn giáo","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.000544","Thủ tục cấp Giấy chứng nhận đủ điều kiện kinh doanh hoạt động thể thao đối với môn Võ cổ truyền, Vovinam","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Thể dục thể thao","Cấp Tỉnh"
"1.000553","Giải thể trường trung cấp, trung tâm giáo dục nghề nghiệp có vốn đầu tư nước ngoài; chấm dứt hoạt động phân hiệu của trường trung cấp có vốn đầu tư nước ngoài","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000558","Thành lập hội đồng quản trị trường trung cấp tư thục","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000560","Thủ tục cấp Giấy chứng nhận đủ điều kiện kinh doanh hoạt động thể thao đối với môn Quyền anh","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Thể dục thể thao","Cấp Tỉnh"
"1.000562","Cấp lại giấy xác nhận nội dung quảng cáo dịch vụ khám bệnh, chữa bệnh thuộc thẩm quyền của Sở Y tế trong trường hợp bị mất hoặc hư hỏng","000.00.00.G18","Bộ Y tế","Khám bệnh, chữa bệnh","Cấp Tỉnh"
"1.000570","Cách chức chủ tịch, các thành viên hội đồng trường trung cấp công lập trực thuộc Ủy ban nhân dân cấp tỉnh, Sở, Ủy ban nhân dân cấp huyện","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000583","Gia hạn Chấp thuận thiết kế kỹ thuật và phương án tổ chức giao thông của nút giao đấu nối vào quốc lộ","000.00.00.G04","Bộ Giao thông vận tải","Đường bộ","Cấp Tỉnh"
"1.000584","Miễn nhiệm chủ tịch, các thành viên hội đồng trường trung cấp công lập trực thuộc Ủy ban nhân dân cấp tỉnh, Sở, Ủy ban nhân dân cấp huyện","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000587","Thủ tục thông báo về người được bổ nhiệm, bầu cử, suy cử làm chức việc của tổ chức được cấp chứng nhận đăng ký hoạt động tôn giáo có địa bàn hoạt động ở một tỉnh","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.000588","Thay đổi nội dung đăng ký hoạt động của Trung tâm tư vấn pháp luật, chi nhánh","000.00.00.G15","Bộ Tư pháp","Tư vấn pháp luật","Cấp Tỉnh"
"1.000594","Thủ tục cấp Giấy chứng nhận đủ điều kiện kinh doanh hoạt động thể thao đối với môn Vũ đạo thể thao giải trí","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Thể dục thể thao","Cấp Tỉnh"
"1.000602","Thành lập hội đồng trường, bổ nhiệm chủ tịch, thành viên hội đồng trường trung cấp công lập trực thuộc Ủy ban nhân dân cấp tỉnh, Sở, Ủy ban nhân dân cấp huyện","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000604","Thủ tục thông báo về người được bổ nhiệm, bầu cử, suy cử làm chức việc đối với các trường hợp quy định tại khoản 2 Điều 34 của Luật tín ngưỡng, tôn giáo","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.000614","Đăng ký hoạt động cho chi nhánh của Trung tâm tư vấn pháp luật","000.00.00.G15","Bộ Tư pháp","Tư vấn pháp luật","Cấp Tỉnh"
"1.000619","Miễn nhiệm chủ tịch và các thành viên hội đồng trường cao đẳng công lập trực thuộc Ủy ban nhân dân cấp tỉnh","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000627","Đăng ký hoạt động của Trung tâm tư vấn pháp luật","000.00.00.G15","Bộ Tư pháp","Tư vấn pháp luật","Cấp Tỉnh"
"1.000630","Thành lập hội đồng trường, bổ nhiệm chủ tịch và các thành viên hội đồng trường cao đẳng công lập trực thuộc Ủy ban nhân dân cấp tỉnh","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000638","Thủ tục thông báo hủy kết quả phong phẩm hoặc suy cử chức sắc đối với các trường hợp quy định tại khoản 2 Điều 33 của Luật tín ngưỡng, tôn giáo","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.000644","Thủ tục cấp Giấy chứng nhận đủ điều kiện kinh doanh hoạt động thể thao đối với môn Thể dục thẩm mỹ","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Thể dục thể thao","Cấp Tỉnh"
"1.000653","Tạm dừng đóng vào quỹ hưu trí và tử tuất","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Bảo hiểm xã hội","Cấp Tỉnh"
"1.000654","Thủ tục thông báo người được phong phẩm hoặc suy cử làm chức sắc đối với các trường hợp quy định tại khoản 2 Điều 33 của Luật tín ngưỡng, tôn giáo","000.00.00.G09","Bộ Nội vụ","Tôn giáo Chính phủ","Cấp Tỉnh"
"1.000655","Xóa đăng ký biện pháp bảo đảm bằng quyền sử dụng đất, tài sản gắn liền với đất","000.00.00.G15","Bộ Tư pháp","Đăng ký biện pháp bảo đảm","Cấp Tỉnh"
"1.000660","Công bố đưa bến xe khách vào khai thác","000.00.00.G04","Bộ Giao thông vận tải","Đường bộ","Cấp Tỉnh"
"1.000662","Cấp lại giấy xác nhận nội dung quảng cáo mỹ phẩm khi có thay đổi về tên, địa chỉ của tổ chức, cá nhân chịu trách nhiệm và không thay đổi nội dung quảng cáo","000.00.00.G18","Bộ Y tế","Mỹ phẩm","Cấp Tỉnh"
"1.000669","Đăng ký thay đổi nội dung giấy chứng nhận đăng ký thành lập đối với cơ sở trợ giúp xã hội ngoài công lập thuộc thẩm quyền thành lập của Phòng Lao động – Thương binh và Xã hội","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Bảo trợ xã hội","Cấp Huyện"
"1.000671","Cử phóng viên thường trú tại các địa phương khác của Việt Nam","000.00.00.G08","Bộ Ngoại giao","Báo chí","Cấp Tỉnh"
"1.000672","Công bố lại đưa bến xe khách vào khai thác","000.00.00.G04","Bộ Giao thông vận tải","Đường bộ","Cấp Tỉnh"
"1.000681","Thủ tục tặng thưởng Bằng khen cấp bộ, ngành, đoàn thể Trung ương, tỉnh, thành phố trực thuộc Trung ương về thành tích đối ngoại","000.00.00.G09","Bộ Nội vụ","Thi đua - khen thưởng","Cấp Tỉnh"
